s,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2,C,mol/mol,mol/mol,mol/mol,mol/mol,kW/m2
Time,"T-1","O2-1","CO-1","CO2-1","HCN-1","Q-1","HRR-1","T-2","O2-2","CO-2","CO2-2","HCN-2","Q-2","HRR-2","T-3","O2-3","CO-3","CO2-3","HCN-3","Q-3","HRR-3","T-4","O2-4","CO-4","CO2-4","HCN-4","Q-4","HRR-4","Q-2C-A1","Q-2G-A1","Q-2N-A1","Q-2I-A1","Q-2R-A1","Q-2C-B1","Q-2G-B1","Q-2N-B1","Q-2I-B1","Q-2R-B1","Q-2C-A2","Q-2G-A2","Q-2N-A2","Q-2I-A2","Q-2R-A2","Q-2C-B2","Q-2G-B2","Q-2N-B2","Q-2I-B2","Q-2R-B2","Q-2C-A3","Q-2G-A3","Q-2N-A3","Q-2I-A3","Q-2R-A3","Q-2C-B3","Q-2G-B3","Q-2N-B3","Q-2I-B3","Q-2R-B3","Q-2C-A4","Q-2G-A4","Q-2N-A4","Q-2I-A4","Q-2R-A4","Q-2C-B4","Q-2G-B4","Q-2N-B4","Q-2I-B4","Q-2R-B4","T-C","O2-C","CO-C","CO2-C","HCN-C","Q-2R-C","T-D","O2-D","CO-D","CO2-D","HCN-D","Q-2R-D","T-E","O2-E","CO-E","CO2-E","HCN-E","Q-2R-E","T-F","O2-F","CO-F","CO2-F","HCN-F","Q-2R-F"
 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.6652157E-005, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.6659684E-005, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.5131810E-004, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.5427064E-005, 0.0000000E+000, 0.0000000E+000,-3.8539026E-005,-3.4685082E-005, 4.1872728E-001,-3.4685082E-005, 0.0000000E+000,-2.7371166E-005,-2.4634007E-005, 4.1873844E-001,-2.4634007E-005, 0.0000000E+000,-4.1275691E-005,-3.7148080E-005, 4.1872454E-001,-3.7148080E-005, 0.0000000E+000,-2.8601987E-005,-2.5741746E-005, 4.1873721E-001,-2.5741746E-005, 0.0000000E+000,-5.2291854E-005,-4.7062626E-005, 4.1871352E-001,-4.7062626E-005, 0.0000000E+000,-4.3356231E-005,-3.9020566E-005, 4.1872246E-001,-3.9020566E-005, 0.0000000E+000,-2.0982386E-004,-1.8884144E-004, 4.1855599E-001,-1.8884144E-004, 0.0000000E+000,-2.0295884E-004,-1.8266291E-004, 4.1856286E-001,-1.8266291E-004, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000
 1.1000000E+000, 1.9999994E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.5775662E-006, 0.0000000E+000, 2.0000028E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.0883112E-006, 0.0000000E+000, 2.0000007E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.6774341E-006, 0.0000000E+000, 2.0000005E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.9268227E-006, 0.0000000E+000,-1.7007144E-009,-1.8791736E-006,-1.6913844E-006, 4.1876394E-001,-1.6896837E-006, 1.3374408E-009,-1.8322612E-006,-1.6488594E-006, 4.1876398E-001,-1.6501969E-006, 4.1748116E-009,-3.1145467E-006,-2.8026327E-006, 4.1876270E-001,-2.8068075E-006, 1.0374464E-010,-2.2173063E-006,-1.9955234E-006, 4.1876360E-001,-1.9956272E-006,-2.2675002E-009,-3.0737434E-006,-2.7665539E-006, 4.1876274E-001,-2.7642864E-006,-1.2590280E-009,-3.2838226E-006,-2.9555244E-006, 4.1876253E-001,-2.9542653E-006,-3.9185471E-010,-1.8048993E-005,-1.6244091E-005, 4.1874777E-001,-1.6243699E-005,-1.3391031E-009,-1.6344180E-005,-1.4709854E-005, 4.1874947E-001,-1.4708515E-005, 2.0000009E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.2147516E-006, 1.9999988E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.6162996E-006, 1.9999991E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.6180156E-006, 2.0000003E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.6023558E-006
 2.0000000E+000, 1.9999987E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-9.5760825E-007, 0.0000000E+000, 2.0000058E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.2428673E-007, 0.0000000E+000, 2.0000017E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.3053804E-006, 0.0000000E+000, 2.0000011E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.1707772E-006, 0.0000000E+000,-3.7838065E-009,-3.8802685E-007,-3.4956067E-007, 4.1876543E-001,-3.4577686E-007, 2.7584425E-009,-2.7984138E-007,-2.5153953E-007, 4.1876553E-001,-2.5429797E-007, 9.9745714E-009,-7.1233996E-007,-6.4006663E-007, 4.1876509E-001,-6.5004120E-007, 3.3031488E-010,-4.1912817E-007,-3.7714044E-007, 4.1876540E-001,-3.7747076E-007,-4.8846217E-009,-5.3238342E-007,-4.7959167E-007, 4.1876529E-001,-4.7470704E-007,-2.9239017E-009,-4.5833265E-007,-4.1274990E-007, 4.1876536E-001,-4.0982600E-007,-3.6020015E-010,-3.0148516E-006,-2.7133606E-006, 4.1876280E-001,-2.7130004E-006,-2.8967902E-009,-2.4981436E-006,-2.2485771E-006, 4.1876332E-001,-2.2456803E-006, 2.0000023E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.2188123E-007, 1.9999977E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.1762340E-006, 1.9999979E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.7987838E-007, 2.0000009E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.7629050E-007
 3.0000000E+000, 1.9999981E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.2198705E-007, 0.0000000E+000, 2.0000077E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.2856799E-007, 0.0000000E+000, 2.0000026E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-8.7971842E-007, 0.0000000E+000, 2.0000016E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.9668674E-007, 0.0000000E+000,-5.5688880E-009,-9.0459170E-008,-8.1928266E-008, 4.1876573E-001,-7.6359378E-008, 3.7201615E-009,-6.9699131E-008,-6.2315326E-008, 4.1876574E-001,-6.6035487E-008, 1.5442075E-008,-1.6612752E-007,-1.4792868E-007, 4.1876563E-001,-1.6337076E-007, 5.7694948E-010,-9.3885858E-008,-8.4397701E-008, 4.1876572E-001,-8.4974650E-008,-6.9666213E-009,-1.1445608E-007,-1.0366526E-007, 4.1876571E-001,-9.6698634E-008,-4.4932724E-009,-1.0051603E-007,-9.0871878E-008, 4.1876572E-001,-8.6378606E-008, 6.1502514E-011,-6.9509210E-007,-6.2553486E-007, 4.1876512E-001,-6.2559636E-007,-4.2424690E-009,-5.1809704E-007,-4.6666971E-007, 4.1876530E-001,-4.6242724E-007, 2.0000038E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-9.5207618E-008, 1.9999969E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.5603106E-007, 1.9999966E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.6695977E-007, 2.0000016E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.4533923E-007
 4.0000000E+000, 1.9999973E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.5323546E-008, 0.0000000E+000, 2.0000090E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.5176849E-008, 0.0000000E+000, 2.0000033E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.9421364E-007, 0.0000000E+000, 2.0000020E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.5993078E-008, 0.0000000E+000,-7.3011845E-009,-2.4389920E-008,-2.2639170E-008, 4.1876580E-001,-1.5337985E-008, 4.7078277E-009,-6.3461110E-009,-5.1988406E-009, 4.1876580E-001,-9.9066683E-009, 2.0991917E-008,-1.7523536E-009, 5.6395007E-010, 4.1876579E-001,-2.0427967E-008, 8.3152700E-010,-1.5306763E-008,-1.3651058E-008, 4.1876580E-001,-1.4482585E-008,-8.8264288E-009,-3.4095666E-008,-3.1526865E-008, 4.1876579E-001,-2.2700437E-008,-6.1441050E-009,-3.0262531E-008,-2.7808812E-008, 4.1876579E-001,-2.1664707E-008, 7.6007988E-010,-1.3798908E-007,-1.2407229E-007, 4.1876568E-001,-1.2483237E-007,-6.0139066E-009,-1.3873797E-007,-1.2542369E-007, 4.1876568E-001,-1.1940978E-007, 2.0000056E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.7692821E-008, 1.9999962E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.8370023E-008, 1.9999952E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.3352070E-008, 2.0000025E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.7070719E-008
 5.1000000E+000, 1.9999964E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.6726687E-008, 0.0000000E+000, 2.0000097E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.9029859E-009, 0.0000000E+000, 2.0000040E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.6053205E-008, 0.0000000E+000, 2.0000024E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.4916195E-008, 0.0000000E+000,-8.9664257E-009,-1.3692047E-008,-1.3177608E-008, 4.1876581E-001,-4.2111823E-009, 5.5081391E-009, 4.8442820E-009, 4.9525443E-009, 4.1876581E-001,-5.5559475E-010, 2.6499034E-008, 2.6932443E-008, 2.6930979E-008, 4.1876582E-001, 4.3194439E-010, 1.0756241E-009,-2.2212260E-009,-1.8496644E-009, 4.1876581E-001,-2.9252885E-009,-1.0463202E-008,-1.8597173E-008,-1.7741899E-008, 4.1876581E-001,-7.2786979E-009,-7.8751530E-009,-1.5045589E-008,-1.4286668E-008, 4.1876581E-001,-6.4115154E-009, 1.6993041E-009,-3.2210290E-008,-2.8777454E-008, 4.1876578E-001,-3.0476758E-008,-8.0209601E-009,-4.1231173E-008,-3.7868275E-008, 4.1876578E-001,-2.9847315E-008, 2.0000075E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.6666041E-009, 1.9999957E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.5768376E-008, 1.9999937E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-7.2216175E-009, 2.0000036E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-7.2108689E-009
 6.1000000E+000, 1.9999955E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-7.0765032E-009, 0.0000000E+000, 2.0000101E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.3665566E-009, 0.0000000E+000, 2.0000045E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.2290980E-008, 0.0000000E+000, 2.0000027E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.8522439E-009, 0.0000000E+000,-1.0484408E-008,-1.2748707E-008,-1.2480400E-008, 4.1876581E-001,-1.9959921E-009, 5.9944847E-009, 7.5286882E-009, 7.4171445E-009, 4.1876582E-001, 1.4226598E-009, 3.1683127E-008, 3.8612424E-008, 3.7961371E-008, 4.1876582E-001, 6.2782445E-009, 1.2854340E-009, 9.9166936E-010, 1.0629224E-009, 4.1876581E-001,-2.2251161E-010,-1.1831045E-008,-1.7053307E-008,-1.6489204E-008, 4.1876581E-001,-4.6581587E-009,-9.6102066E-009,-1.3945917E-008,-1.3470470E-008, 4.1876581E-001,-3.8602630E-009, 2.7775809E-009,-6.1225569E-009,-5.1906665E-009, 4.1876581E-001,-7.9682474E-009,-1.0026467E-008,-2.3450006E-008,-2.2065776E-008, 4.1876580E-001,-1.2039308E-008, 2.0000095E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 1.3848988E-010, 1.9999952E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.0800252E-009, 1.9999922E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.3530775E-009, 2.0000048E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.8771133E-009
 7.1000000E+000, 1.9999946E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-5.1490121E-009, 0.0000000E+000, 2.0000101E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.7983585E-009, 0.0000000E+000, 2.0000050E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-6.6451211E-009, 0.0000000E+000, 2.0000029E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.8236042E-009, 0.0000000E+000,-1.1796904E-008,-1.3620350E-008,-1.3396129E-008, 4.1876581E-001,-1.5992251E-009, 6.1974588E-009, 8.4050751E-009, 8.2261901E-009, 4.1876582E-001, 2.0287313E-009, 3.6210413E-008, 4.5699935E-008, 4.4792859E-008, 4.1876582E-001, 8.5824460E-009, 1.4401897E-009, 1.9437060E-009, 1.9352310E-009, 4.1876582E-001, 4.9504125E-010,-1.2914515E-008,-1.7913460E-008,-1.7371689E-008, 4.1876581E-001,-4.4571738E-009,-1.1258921E-008,-1.5545851E-008,-1.5075281E-008, 4.1876581E-001,-3.8163597E-009, 3.8818447E-009, 2.9767886E-010, 6.9797205E-010, 4.1876581E-001,-3.1838726E-009,-1.1908316E-008,-2.3237363E-008,-2.2062582E-008, 4.1876580E-001,-1.0154266E-008, 2.0000114E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 1.1903158E-009, 1.9999949E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.6844077E-009, 1.9999906E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.5674386E-009, 2.0000061E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.9097438E-009
 8.1000000E+000, 1.9999937E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.8344529E-009, 0.0000000E+000, 2.0000099E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.7006740E-009, 0.0000000E+000, 2.0000054E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.9504766E-009, 0.0000000E+000, 2.0000030E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-3.5731489E-009, 0.0000000E+000,-1.2986746E-008,-1.4616968E-008,-1.4412069E-008, 4.1876581E-001,-1.4253237E-009, 6.1958094E-009, 8.6452710E-009, 8.4422015E-009, 4.1876582E-001, 2.2463920E-009, 4.0723655E-008, 5.1819506E-008, 5.0751798E-008, 4.1876583E-001, 1.0028143E-008, 1.5427310E-009, 2.2429657E-009, 2.2148188E-009, 4.1876582E-001, 6.7208778E-010,-1.3829336E-008,-1.8985507E-008,-1.8428014E-008, 4.1876581E-001,-4.5986780E-009,-1.2893550E-008,-1.7468955E-008,-1.6969538E-008, 4.1876581E-001,-4.0759882E-009, 5.0203649E-009, 3.1879378E-009, 3.4130571E-009, 4.1876581E-001,-1.6073078E-009,-1.3741220E-008,-2.5088588E-008,-2.3911974E-008, 4.1876580E-001,-1.0170755E-008, 2.0000133E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000, 1.6445536E-009, 1.9999946E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-4.7051712E-009, 1.9999891E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-2.6546509E-009, 2.0000075E+001, 2.0782285E-001, 0.0000000E+000, 3.8690337E-004, 0.0000000E+000,-1.5971446E-009
